danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
0.418,0.5,6,-6.399,1,0.0317,0.387,0,0.156,0.229,128.486,audio_features,5kZpmjuKM0iAWjSWYob5wg,spotify:track:5kZpmjuKM0iAWjSWYob5wg,https://api.spotify.com/v1/tracks/5kZpmjuKM0iAWjSWYob5wg,https://api.spotify.com/v1/audio-analysis/5kZpmjuKM0iAWjSWYob5wg,205677,4
0.629,0.5,7,-7.34,1,0.0337,0.085,0,0.266,0.632,80.338,audio_features,2n3l9WkLTJK7VWKJdlZbDU,spotify:track:2n3l9WkLTJK7VWKJdlZbDU,https://api.spotify.com/v1/tracks/2n3l9WkLTJK7VWKJdlZbDU,https://api.spotify.com/v1/audio-analysis/2n3l9WkLTJK7VWKJdlZbDU,222191,4
0.537,0.5,0,-9.306,1,0.137,0.102,0.00678,0.598,0.0516,69.854,audio_features,5jzE73IhaFFULLQEx58EKp,spotify:track:5jzE73IhaFFULLQEx58EKp,https://api.spotify.com/v1/tracks/5jzE73IhaFFULLQEx58EKp,https://api.spotify.com/v1/audio-analysis/5jzE73IhaFFULLQEx58EKp,200627,4
0.531,0.5,7,-8.593,1,0.0282,0.534,0.000861,0.101,0.319,78.076,audio_features,6hVkpZkfQV82W6e31Xye37,spotify:track:6hVkpZkfQV82W6e31Xye37,https://api.spotify.com/v1/tracks/6hVkpZkfQV82W6e31Xye37,https://api.spotify.com/v1/audio-analysis/6hVkpZkfQV82W6e31Xye37,202349,4
0.728,0.5,1,-8.356,1,0.147,0.64,0.00199,0.275,0.725,150.004,audio_features,1kUbwje78UknV5PxT5DIEX,spotify:track:1kUbwje78UknV5PxT5DIEX,https://api.spotify.com/v1/tracks/1kUbwje78UknV5PxT5DIEX,https://api.spotify.com/v1/audio-analysis/1kUbwje78UknV5PxT5DIEX,207983,4
0.752,0.5,1,-10.289,1,0.0838,0.505,7.21E-05,0.0747,0.335,125.039,audio_features,41C5HdQjBfOMYuJwUVZ49F,spotify:track:41C5HdQjBfOMYuJwUVZ49F,https://api.spotify.com/v1/tracks/41C5HdQjBfOMYuJwUVZ49F,https://api.spotify.com/v1/audio-analysis/41C5HdQjBfOMYuJwUVZ49F,249147,4
0.83,0.5,8,-10.116,1,0.0427,0.00244,0.00111,0.07,0.228,129.991,audio_features,4Z5HD0HVofvYrj23OnWSZK,spotify:track:4Z5HD0HVofvYrj23OnWSZK,https://api.spotify.com/v1/tracks/4Z5HD0HVofvYrj23OnWSZK,https://api.spotify.com/v1/audio-analysis/4Z5HD0HVofvYrj23OnWSZK,218769,4
0.679,0.5,0,-8.658,1,0.256,0.333,0,0.273,0.737,167.365,audio_features,1J7GrXI8cdtPhUBj4U4r2o,spotify:track:1J7GrXI8cdtPhUBj4U4r2o,https://api.spotify.com/v1/tracks/1J7GrXI8cdtPhUBj4U4r2o,https://api.spotify.com/v1/audio-analysis/1J7GrXI8cdtPhUBj4U4r2o,241970,4
0.599,0.625,11,-6.485,0,0.0291,0.318,0.00106,0.0949,0.437,105.163,audio_features,72z94lrRkPOuSaFdQS1AOX,spotify:track:72z94lrRkPOuSaFdQS1AOX,https://api.spotify.com/v1/tracks/72z94lrRkPOuSaFdQS1AOX,https://api.spotify.com/v1/audio-analysis/72z94lrRkPOuSaFdQS1AOX,269013,4
0.484,0.625,9,-8.202,0,0.0599,0.0436,0.000535,0.733,0.567,78.314,audio_features,5W2bVZrnhDXUNHX4NAh0nv,spotify:track:5W2bVZrnhDXUNHX4NAh0nv,https://api.spotify.com/v1/tracks/5W2bVZrnhDXUNHX4NAh0nv,https://api.spotify.com/v1/audio-analysis/5W2bVZrnhDXUNHX4NAh0nv,194676,4
0.574,0.625,1,-7.69,0,0.054,0.0457,2.93E-05,0.0815,0.729,87.838,audio_features,2OcDvFVg5jRjr02mF9lMNE,spotify:track:2OcDvFVg5jRjr02mF9lMNE,https://api.spotify.com/v1/tracks/2OcDvFVg5jRjr02mF9lMNE,https://api.spotify.com/v1/audio-analysis/2OcDvFVg5jRjr02mF9lMNE,166813,4
0.594,0.625,4,-9.035,0,0.263,0.513,0.000358,0.0978,0.509,89.972,audio_features,4j5XGTuFG1jCnFGnkSpvz3,spotify:track:4j5XGTuFG1jCnFGnkSpvz3,https://api.spotify.com/v1/tracks/4j5XGTuFG1jCnFGnkSpvz3,https://api.spotify.com/v1/audio-analysis/4j5XGTuFG1jCnFGnkSpvz3,198384,4
